shapeID,shapeName,assigned_state,state_method,district_code,resolve_method,resolve_score,frame_name,frame_state
76128533B12694285477701,Darbhanga,Bihar,centroid,195,exact_state,100,Darbhanga,Bihar
76128533B91871300208785,Gaya,Bihar,centroid,196,exact_state,100,Gaya,Bihar
76128533B93214480696409,Gopalganj,Bihar,centroid,197,exact_state,100,Gopalganj,Bihar
76128533B16781044866906,Jamui,Bihar,centroid,198,exact_state,100,Jamui,Bihar
76128533B24101991435637,Jehanabad,Bihar,centroid,199,exact_state,100,Jehanabad,Bihar
76128533B78904410352326,Kaimur (Bhabua),Bihar,centroid,200,exact_state,100,Kaimur (Bhabua),Bihar
76128533B27432148084533,Katihar,Bihar,centroid,201,exact_state,100,Katihar,Bihar
76128533B78970756356546,Khagaria,Bihar,centroid,202,exact_state,100,Khagaria,Bihar
76128533B65773363805797,Kishanganj,Bihar,centroid,203,exact_state,100,Kishanganj,Bihar
76128533B98985252129882,Lakhisarai,Bihar,centroid,204,exact_state,100,Lakhisarai,Bihar
76128533B29293163114565,Madhepura,Bihar,centroid,205,exact_state,100,Madhepura,Bihar
76128533B90384580518633,Madhubani,Bihar,centroid,206,exact_state,100,Madhubani,Bihar
76128533B40868676647207,Munger,Bihar,centroid,207,exact_state,100,Munger,Bihar
76128533B88481188307630,Muzaffarpur,Bihar,centroid,208,exact_state,100,Muzaffarpur,Bihar
76128533B51363853289247,Nalanda,Bihar,centroid,209,exact_state,100,Nalanda,Bihar
76128533B36625800127334,Nawada,Bihar,centroid,210,exact_state,100,Nawada,Bihar
76128533B17762399278073,Pashchim Champaran,Bihar,centroid,211,exact_state,100,Pashchim Champaran,Bihar
76128533B60721316645780,Patna,Bihar,centroid,212,exact_state,100,Patna,Bihar
76128533B49017555803526,Purba Champaran,Bihar,centroid,213,fuzzy_state,93,Purbi Champaran,Bihar
76128533B32499449492865,Purnia,Bihar,centroid,214,exact_state,100,Purnia,Bihar
76128533B33458049385696,Rohtas,Bihar,centroid,215,exact_state,100,Rohtas,Bihar
76128533B24755983727265,Saharsa,Bihar,centroid,216,exact_state,100,Saharsa,Bihar
76128533B66790149147330,Samastipur,Bihar,centroid,217,exact_state,100,Samastipur,Bihar
76128533B19903856317609,Saran,Bihar,centroid,218,exact_state,100,Saran,Bihar
76128533B29672216830072,Sheikhpura,Bihar,centroid,219,exact_state,100,Sheikhpura,Bihar
76128533B74961596993088,Sheohar,Bihar,centroid,220,exact_state,100,Sheohar,Bihar
76128533B21922686388534,Sitamarhi,Bihar,centroid,221,exact_state,100,Sitamarhi,Bihar
76128533B14033116794334,Siwan,Bihar,centroid,222,exact_state,100,Siwan,Bihar
76128533B62794162648247,Supaul,Bihar,centroid,223,exact_state,100,Supaul,Bihar
76128533B91445917652173,Vaishali,Bihar,centroid,224,exact_state,100,Vaishali,Bihar
76128533B56050914259601,Chandigarh,Chandigarh,centroid,44,exact_state,100,Chandigarh,Chandigarh
76128533B90169585758701,Balod,Chhattisgarh,centroid,646,exact_state,100,Balod,Chhattisgarh
76128533B54306414631532,Baloda Bazar,Chhattisgarh,centroid,644,alias_exact,100,Balodabazar-Bhatapara,Chhattisgarh
76128533B14598081584747,Balrampur,Chhattisgarh,centroid,649,alias_exact,100,Balrampur-Ramanujganj,Chhattisgarh
76128533B47840093719460,Bastar,Chhattisgarh,centroid,374,exact_state,100,Bastar,Chhattisgarh
76128533B73736605657091,Bemetra,Chhattisgarh,centroid,650,fuzzy_state,93,Bemetara,Chhattisgarh
76128533B66145460152555,Bijapur,Chhattisgarh,centroid,636,exact_state,100,Bijapur,Chhattisgarh
76128533B81964529079574,Bilaspur,Chhattisgarh,centroid,375,exact_state,100,Bilaspur,Chhattisgarh
76128533B14292125820380,Dakshin Bastar Dantewada,Chhattisgarh,centroid,376,exact_state,100,Dakshin Bastar Dantewada,Chhattisgarh
76128533B71714250401862,Dhamtari,Chhattisgarh,centroid,377,exact_state,100,Dhamtari,Chhattisgarh
76128533B15993411864574,Durg,Chhattisgarh,centroid,378,exact_state,100,Durg,Chhattisgarh
76128533B93063337202124,Gariaband,Chhattisgarh,centroid,645,fuzzy_state,94,Gariyaband,Chhattisgarh
76128533B38203190611533,Gaurella Pendra Marwahi,Chhattisgarh,centroid,734,fuzzy_state,97,Gaurela-Pendra-Marwahi,Chhattisgarh
76128533B6310527412636,Janjgir-Champa,Chhattisgarh,centroid,379,exact_state,100,Janjgir-Champa,Chhattisgarh
