hospital_ref,district_code,state,hospital_type,basic_tier,specialties
HOSP-11260,585,TAMIL NADU,Private(For Profit),False,burns|emergency_room|ent|general_medicine|general_surgery|obgyn|orthopaedics|plastic_surgery|polytrauma|surgical_oncology
HOSP-11261,675,GUJARAT,Public,True,emergency_room|general_medicine
HOSP-11262,489,MAHARASHTRA,Public,False,obgyn
HOSP-11263,507,TELANGANA,Private(For Profit),False,
HOSP-11264,515,ANDHRA PRADESH,Public,True,
HOSP-11265,505,ANDHRA PRADESH,Public,True,
HOSP-11266,532,KARNATAKA,Public,True,
HOSP-11267,700,TELANGANA,Private(For Profit),False,
HOSP-11268,538,KARNATAKA,Private(For Profit),False,emergency_room|ent|general_medicine|general_surgery|obgyn|ophthalmology|orthopaedics|paediatric_cancer|paediatric_surgery
HOSP-11269,580,TAMIL NADU,Public,False,
HOSP-11270,540,KARNATAKA,Private(For Profit),False,ophthalmology
HOSP-11271,530,KARNATAKA,Public,False,emergency_room|general_medicine
HOSP-11272,68,HARYANA,Private(For Profit),False,ophthalmology|oral_maxillofacial
HOSP-11273,538,KARNATAKA,Public,True,
HOSP-11274,216,BIHAR,Private(For Profit),False,orthopaedics
HOSP-11275,561,KERALA,Public,False,emergency_room|general_medicine|paediatric_medicine
HOSP-11276,507,TELANGANA,Public,False,
HOSP-11277,389,CHHATTISGARH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|orthopaedics|urology
HOSP-11278,150,UTTAR PRADESH,Private(For Profit),False,orthopaedics
HOSP-11279,187,UTTAR PRADESH,Private(For Profit),False,general_surgery
HOSP-11280,150,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|neonatal|obgyn|ophthalmology|orthopaedics|paediatric_medicine|polytrauma|urology
HOSP-11281,182,UTTAR PRADESH,Public,True,general_medicine
HOSP-11282,148,UTTAR PRADESH,Public,True,general_medicine|obgyn
HOSP-11283,473,MAHARASHTRA,Public,False,general_surgery|obgyn
HOSP-11284,92,RAJASTHAN,Public,True,emergency_room|general_medicine
HOSP-11285,472,MAHARASHTRA,Public,False,
HOSP-11286,102,RAJASTHAN,Private(For Profit),False,
HOSP-11287,512,TELANGANA,Public,True,
HOSP-11288,547,KARNATAKA,Public,True,
HOSP-11289,173,UTTAR PRADESH,Private(For Profit),False,ophthalmology
HOSP-11290,438,GUJARAT,Private(For Profit),False,cardiology|ctvs|emergency_room|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|neurosurgery|obgyn|ophthalmology|orthopaedics|polytrauma|surgical_oncology|urology
